metric,value,denominator,unit,definition,source
records,152,152,records,compiled record count,dataset.json
jurisdictions,12,12,jurisdictions,jurisdictions represented,research/quantitative/jurisdiction_metrics.csv
dimensions,15,15,dimensions,distinct dimensions represented,research/quantitative/dimension_metrics.csv
records_with_source_url,103,152,records,non-empty cited source URL; not a review claim,dataset.json
official_source_disposition,103,152,records,source classified as official,analysis/freshness_report.json
primary_text_resolution,48,152,records,resolution_text evidence tier,research/quantitative_baseline.json
structural_citable_candidates,46,152,records,"structural candidate only, not current-law ready",dataset.json
decision_ready_citable,0,152,records,"official, current and independently reconciled",dataset.json
freshness_current,0,152,records,current under binding-status SLA,analysis/freshness_report.json
freshness_stale,38,152,records,source check beyond SLA,analysis/freshness_report.json
high_impact_current_reconciled,0,50,records,high-impact SLA hard gate,analysis/freshness_report.json
missing_source_checked_date,114,152,records,null source_last_checked,dataset.json
missing_effective_from,100,152,records,null effective_from; may be inapplicable or a gap,dataset.json
invalid_date_relationships,0,152,records,ontology date-rule failures,analysis/legal_event_ontology.json
uncertainty_high_or_unknown,90,152,records,persisted uncertainty classification,dataset.json
primary_reviewer_coverage,41,152,records,named primary reviewer,analysis/freshness_report.json
independent_second_reviewer_coverage,0,152,records,different named second reviewer,analysis/freshness_report.json
first_class_event_coverage,20,152,records,record linked to event ontology,analysis/legal_event_ontology.json
superseded_records,0,152,records,explicit superseded legal status,dataset.json
directed_corridors,132,132,corridors,"class distribution {""I"": 32, ""II"": 24, ""III"": 29, ""T"": 25, ""blocked"": 11, ""pre_regime"": 11}",analysis/computed_corridors_directed.json
temporally_sensitive_class_moves,55,132,edge movements,own-event inbound and outbound class movements; not unique edges,analysis/computed_forward_view.json
