case_id,jurisdiction,dimension,primary_codes,primary_coder,second_codes,second_coder,agreement_status,reconciliation_status,evidence_excerpt
ae-pt-aml_kyc-001,AE,aml_kyc,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Federal AML/CFT law applies across onshore and free zones, the FATF travel rule applies, and each regulator (CBUAE, VARA, FSRA, DFSA) imposes AML/CFT obligations within its perimeter."
ae-pt-bank_nonbank_routing-001,AE,bank_nonbank_routing,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The CBUAE licenses payment-token issuers; the regime admits bank and non-bank issuers under the payment-token charter rather than a bank-only model.
ae-pt-capital_requirements-001,AE,capital_requirements,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Onshore, capital requirements are as specified by the CBUAE PTSR. Free-zone issuers face capital requirements per the relevant VARA/FSRA/DFSA framework. The specific figures differ by perimeter."
ae-pt-cross_border_data-001,AE,cross_border_data,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The Federal Personal Data Protection Law (PDPL) applies onshore. The DIFC and ADGM have their own data-protection regimes (DIFC Data Protection Law; ADGM Data Protection Regulations). Cross-border data-transfer rules vary by zone.
ae-pt-distribution-001,AE,distribution,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The CBUAE channel restriction is the distribution-side constraint: foreign payment tokens are excluded from the general-payments channel and may be accepted only to buy virtual assets or derivatives. Free-zone issuers cannot issue AED token
ae-pt-implementation_status-001,AE,implementation_status,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"In-force regime. Milestones: CBUAE Payment Token Services Regulation (Circular 2/2024) issued (2024); one-year transition period for existing arrangements (2024-2025); transition period closes and AED tokens (AE Coin, Zand AED) go live, wit"
ae-pt-issuer_pathway-001,AE,issuer_pathway,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Onshore, a Dirham Payment Token (DPT) may be issued only by a CBUAE-licensed, UAE-incorporated entity; a Foreign Payment Token (FPT) is a registered foreign issuer's token that may be used only to purchase virtual assets or derivatives, not"
ae-pt-monetary_sovereignty-001,AE,monetary_sovereignty,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The CBUAE PTSR imposes a channel restriction grounded in monetary sovereignty: no merchant may accept a virtual asset as payment for goods or services unless it is a Dirham Payment Token from a CBUAE-licensed issuer. Foreign payment tokens 
ae-pt-permitted_activity_yield-001,AE,permitted_activity_yield,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Issuer-paid yield is prohibited onshore (CBUAE). ADGM permits the issuer to earn reserve income but bans the promotion of the token as an investment or savings product. The operative line in ADGM is promotion, not the earning of reserve inc"
ae-pt-redemption-001,AE,redemption,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Onshore (CBUAE): redemption at par, no later than the next business day. ADGM: redemption at par within T+2. Free-zone frameworks specify their own redemption timelines."
