indicator,title,status,owner_role,reviewed_date,target_date,verification_command,interpretation,next_action,limitations,official_reference
1,SDG Relevance,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",No causal-impact evaluation or UN/DPGA determination.,https://www.digitalpublicgoods.net/standard
2,Open Licencing,Met,maintainer,2026-08-20,continuous,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",Licence notices still require release-by-release verification.,https://www.digitalpublicgoods.net/standard
3,Clear Ownership,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.","CODEOWNERS is committed, but repository-side enforcement requires remote ruleset readback.",https://www.digitalpublicgoods.net/standard
4,Platform Independence,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",Linux local evidence exists; remote Python 3.10-3.13 and Windows evidence remain external gates.,https://www.digitalpublicgoods.net/standard
5,Documentation,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",Independent usability testing has not been completed.,https://www.digitalpublicgoods.net/standard
6,Non-PII Data Extraction,Met,maintainer,2026-08-20,continuous,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",The public dataset contains regulatory research; downstream action payloads can contain sensitive data.,https://www.digitalpublicgoods.net/standard
7,Privacy & Applicable Laws,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",Applicability depends on deployment context and must be assessed by the downstream operator.,https://www.digitalpublicgoods.net/standard
8,Open Standards & Best Practices,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",External interoperability certification has not been performed.,https://www.digitalpublicgoods.net/standard
9A,Data Privacy & Security,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",Local controls exist; independent security assessment and remote workflow evidence remain pending.,https://www.digitalpublicgoods.net/standard
9B,Inappropriate & Illegal Content,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",Moderation operation evidence does not yet exist.,https://www.digitalpublicgoods.net/standard
9C,Protection from Harassment,Partial,maintainer,2026-08-20,before-v0.11.0-release,python -m tools.verify,Repository evidence is assessed against this indicator without implying certification or external assurance.,"Close the stated limitation, retain dated evidence, and obtain the applicable independent or remote readback before submission.",Enforcement effectiveness has not been independently evaluated.,https://www.digitalpublicgoods.net/standard
