record_id,jurisdiction,dimension,claim_class,requirement_summary,official_or_named_source,source_url,pinpoint,source_disposition,source_check_status,source_last_checked,next_review_due,review_status,days_overdue,reviewer,second_reviewer,review_stage,reconciliation_status,review_disagreement,evidence_tier,binding_status,legal_status,effective_from,effective_until,event_id,uncertainty,decision_ready
ae-pt-aml_kyc-001,AE,aml_kyc,tier1_legal,"Federal AML/CFT law applies across onshore and free zones, the FATF travel rule applies, and each regulator (CBUAE, VARA, FSRA, DFSA) imposes AML/CFT obligations within its perimeter.",UAE federal AML/CFT law; CBUAE / VARA / FSRA / DFSA AML rules,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,AML — federal AML/CFT + FATF travel rule; per-regulator obligations,official,not_checked,,,unknown,,,,unreviewed,not_started,,mixed,in_force_enacted,operative,,,,medium,False
ae-pt-bank_nonbank_routing-001,AE,bank_nonbank_routing,tier1_legal,The CBUAE licenses payment-token issuers; the regime admits bank and non-bank issuers under the payment-token charter rather than a bank-only model.,CBUAE Payment Token Services Regulation (2024),,Licensing of bank and non-bank payment-token issuers,unavailable,source_unavailable,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,,,,high,False
ae-pt-capital_requirements-001,AE,capital_requirements,tier1_legal,"Onshore, capital requirements are as specified by the CBUAE PTSR. Free-zone issuers face capital requirements per the relevant VARA/FSRA/DFSA framework. The specific figures differ by perimeter.",CBUAE PTSR (Circular 2/2024); VARA / ADGM-FSRA / DIFC-DFSA frameworks,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Capital — per CBUAE PTSR onshore; per free-zone framework,official,not_checked,,,unknown,,,,unreviewed,not_started,,mixed,in_force_enacted,operative,,,,medium,False
ae-pt-cross_border_data-001,AE,cross_border_data,tier1_legal,The Federal Personal Data Protection Law (PDPL) applies onshore. The DIFC and ADGM have their own data-protection regimes (DIFC Data Protection Law; ADGM Data Protection Regulations). Cross-border data-transfer rules vary by zone.,Federal Personal Data Protection Law (PDPL); DIFC Data Protection Law; ADGM Data Protection Regulations,,Cross-border data — PDPL onshore; DIFC/ADGM own regimes; transfer rules vary by zone,unavailable,source_unavailable,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,,,,high,False
ae-pt-distribution-001,AE,distribution,tier1_legal,The CBUAE channel restriction is the distribution-side constraint: foreign payment tokens are excluded from the general-payments channel and may be accepted only to buy virtual assets or derivatives. Free-zone issuers cannot issue AED tokens and are carved out of the onshore payment perimeter. There is no aggregate volume cap.,CBUAE PTSR (Circular 2/2024),https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Distribution — channel restriction; free-zone issuers carved out of onshore perimeter,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ae-pt-implementation_status-001,AE,implementation_status,tier2_operational,"In-force regime. Milestones: CBUAE Payment Token Services Regulation (Circular 2/2024) issued (2024); one-year transition period for existing arrangements (2024-2025); transition period closes and AED tokens (AE Coin, Zand AED) go live, with the DFSA recognising USD tokens (USDC, RLUSD) (2025-2026). Multiple AED tokens and DFSA-recognised USD tokens are now live.",CBUAE PTSR (Circular 2/2024); DFSA recognition of USD tokens,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Timeline — PTSR 2024; one-year transition closed; AED + DFSA-recognised USD tokens live,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ae-pt-issuer_pathway-001,AE,issuer_pathway,tier1_legal,"Onshore, a Dirham Payment Token (DPT) may be issued only by a CBUAE-licensed, UAE-incorporated entity; a Foreign Payment Token (FPT) is a registered foreign issuer's token that may be used only to purchase virtual assets or derivatives, not for general payments. Banks may issue payment tokens through a subsidiary. Free-zone issuers operate under the VARA/FSRA/DFSA frameworks but cannot issue AED tokens — AED issuance is reserved to the CBUAE regime.",CBUAE PTSR (Circular 2/2024); VARA / ADGM-FSRA / DIFC-DFSA frameworks,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,"Issuer pathways — DPT (CBUAE-licensed); FPT (foreign, VA/derivative-only); bank subsidiary; free-zone cannot issue AED",official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ae-pt-monetary_sovereignty-001,AE,monetary_sovereignty,tier1_legal,"The CBUAE PTSR imposes a channel restriction grounded in monetary sovereignty: no merchant may accept a virtual asset as payment for goods or services unless it is a Dirham Payment Token from a CBUAE-licensed issuer. Foreign payment tokens may be accepted only to buy virtual assets or derivatives, not for general onshore payments. This is a usage-channel restriction, not an aggregate cap — there is no volume ceiling, but foreign tokens are excluded from the general-payments channel, which is reserved for CBUAE-licensed Dirham Payment Tokens.",CBUAE Payment Token Services Regulation (Circular 2/2024),https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Channel restriction — merchants may accept only CBUAE-licensed Dirham Payment Tokens for goods/services; foreign tokens VA/derivative-only,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ae-pt-permitted_activity_yield-001,AE,permitted_activity_yield,tier1_legal,"Issuer-paid yield is prohibited onshore (CBUAE). ADGM permits the issuer to earn reserve income but bans the promotion of the token as an investment or savings product. The operative line in ADGM is promotion, not the earning of reserve income — an approach that resembles the US 'solely in connection with holding' analysis more than a flat prohibition.",CBUAE PTSR (Circular 2/2024); ADGM-FSRA FRT framework,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Yield — prohibited onshore; ADGM permits reserve income but bans investment/savings promotion,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ae-pt-redemption-001,AE,redemption,tier1_legal,"Onshore (CBUAE): redemption at par, no later than the next business day. ADGM: redemption at par within T+2. Free-zone frameworks specify their own redemption timelines.",CBUAE PTSR (Circular 2/2024); ADGM-FSRA FRT framework,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Redemption — CBUAE par <= next business day; ADGM par within T+2,official,not_checked,,,unknown,,,,unreviewed,not_started,,mixed,in_force_enacted,operative,,,,medium,False
ae-pt-regulatory_authority-001,AE,regulatory_authority,tier1_legal,"The UAE operates a federal-versus-free-zone split. Onshore, the Central Bank of the UAE (CBUAE) Payment Token Services Regulation (PTSR, Circular 2/2024) governs payment-token issuance and use. The financial free zones run their own fiat-referenced-token regimes: VARA (Dubai, outside the DIFC); the ADGM Financial Services Regulatory Authority (FSRA) under its Fiat-Referenced Token (FRT) framework; and the DIFC's Dubai Financial Services Authority (DFSA) under its Crypto Token rules.",CBUAE Payment Token Services Regulation (Circular 2/2024); VARA / ADGM-FSRA / DIFC-DFSA frameworks,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Regulators — CBUAE onshore; VARA / ADGM-FSRA / DIFC-DFSA free zones,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ae-pt-reserve_backing-001,AE,reserve_backing,tier1_legal,"Onshore: 100% backing, segregated in UAE banks. The bank-subsidiary option requires at least 50% cash plus UAE government bonds / CBUAE monetary bills. Free-zone frameworks impose their own reserve requirements (e.g., the ADGM FRT framework requires high-quality liquid reserves).",CBUAE PTSR (Circular 2/2024); ADGM FRT framework,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Reserve/backing — 100% segregated in UAE banks; bank-subsidiary >=50% cash + UAE govt bonds/CBUAE bills,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ae-pt-securities_classification-001,AE,securities_classification,tier1_legal,Payment tokens are regulated by the CBUAE as payment instruments under the Payment Token Services Regulation; securities are a separate perimeter under the SCA.,CBUAE Payment Token Services Regulation (2024),,Payment-token perimeter (CBUAE) vs. securities (SCA),unavailable,source_unavailable,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,,,,high,False
br-vasp-aml_kyc-001,BR,aml_kyc,tier1_legal,"Res BCB 520 Art. 44 internalises the FATF Travel Rule as a domestic obligation: for each transfer the originator's institution must transmit complete data on the originator (name, CPF/CNPJ, account) and the beneficiary, including wallet addresses, plus suspicious-activity reporting and AML/CTF (PLD/FT) governance. Res BCB 521 adds Know-Your-Transaction (KYT) duties, requiring identification of self-hosted-wallet owners. Travel-Rule implementation is phased over two stages (Art. 89): first domestic transfers between Brazil-established PSAVs (by February 2027), then international transfers (full compliance by 2 February 2028); during the phase-in SPSAVs may rely on documented client self-declarations. Separately, Art. 88 is the authorisation adjustment/transition provision (the 270-day 'período de adequação' for entities already operating at entry into force), which carries general compliance obligations — internal controls, cybersecurity, and Law 13.810/2019 (UN Security Council sanctions) screening — but is NOT itself the Travel-Rule hook.","Res BCB 520/2025 Art. 44 (Travel Rule) + Art. 89 (two-stage phase-in: domestic by Feb 2027, international by 2 Feb 2028) + Art. 88 (authorisation adjustment period — 270-day adequação; internal controls / cybersecurity / Law 13.810/2019); Res BCB 521/2025 (KYT / self-hosted wallets)",https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,Res BCB 520/2025 (PLD/FTP obligations on SPSAVs; ≥3 responsible administrators including AML/CFT; GAFI Recs 15-16 alignment); Lei 14.478/2022,official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
br-vasp-bank_nonbank_routing-001,BR,bank_nonbank_routing,tier1_legal,Virtual-asset services are supervised by the Banco Central do Brasil; issuance and distribution run through authorized payment/virtual-asset service providers under the central bank's prudential perimeter.,Lei 14.478/2022; BCB regulations,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,"Res BCB 520/2025 Art. 20 (besides SPSAVs, only commercial/exchange/investment/multiple banks, Caixa, CTVM/DTVM and FX brokers may provide intermediation/custody, with restrictions); Art. 4 (SPSAV modalities)",official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
br-vasp-capital_requirements-001,BR,capital_requirements,tier1_legal,"Minimum capital for SPSAVs is set by Resolução Conjunta CMN/BCB nº 14/2025 and Res BCB 517/2025 (both 3 Nov 2025), scaled by activity/modality. Per the BCB's 10 Nov 2025 press conference the range is R$10,800,000–R$37,200,000 (ANBIMA: 'VASPs must now hold R$10.8 million to R$37.2 million in minimum capital'). Res BCB 519/520 do not hard-code a capital figure; they cross-refer to this methodology. FX-authorised institutions (banks, DTVM/CTVM, corretoras de câmbio) remain subject to their existing prudential regimes. IMPORTANT: the frequently-cited R$1m–3m (~USD 181,500–544,500) range was the REJECTED 2024 public-consultation (CP 109/110) proposal, NOT the binding regime.",Resolução Conjunta CMN/BCB nº 14/2025; Res BCB 517/2025 (both 3 Nov 2025) — SPSAV minimum-capital methodology,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=517,"Resolução Conjunta CMN/BCB nº 14/2025 + Res BCB nº 517/2025 (both 3 Nov 2025): minimum capital R$10,800,000 to R$37,200,000 scaled by the set of activities performed",official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
br-vasp-cross_border_data-001,BR,cross_border_data,tier1_legal,"Res BCB 521 integrates authorised SPSAVs' virtual-asset international payments and transfers into the Brazilian foreign-exchange (câmbio) market, regulating the Foreign Exchange Law (Lei 14.286/2021). In scope: international payment/transfer with virtual assets; settlement of international card obligations; transfers to/from self-hosted wallets; and purchase/sale/exchange of fiat-referenced virtual assets. Each operation carries a per-operation cap that binds when the foreign counterparty is NOT authorised to operate in the Brazilian FX market: USD 100,000 for an SPSAV and USD 500,000 for an FX-authorised institution (bank / DTVM / CTVM / corretora de câmbio). Operations require purpose classification under BCB FX codes, identification/traceability of parties (KYT), and identification of self-hosted-wallet owners; cash settlement is prohibited.",Res BCB 521/2025 (virtual assets in the FX market); Lei 14.286/2021 (Foreign Exchange Law),https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=521,"Res BCB 521 — per-operation caps (USD 100k SPSAV / USD 500k FX-FI when counterparty not FX-authorised); amends the Res 277/278/279 FX trio, inserting Art. 76-A into Res 277/2022 as the câmbio-inclusion hook (legal base: Lei 14.286/2021)",official,not_checked,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,2026-02-02,,,high,False
br-vasp-custody-001,BR,custody,tier1_legal,"Res BCB 520 requires mandatory patrimonial segregation: client funds — both fiat and virtual assets — must be fully segregated from the SPSAV's own funds, held in accounts/wallets distinct from corporate treasury, demonstrable beyond accounting records. Custody may be outsourced to a licensed custodian, but regulatory accountability cannot be transferred. (Sources also report a limited own-asset liquidity carve-out and conditions for using foreign custodians; the specific percentage and the foreign-custodian conditions remain to be confirmed against the resolution text.)",Res BCB 520/2025 — patrimonial segregation (segregação patrimonial),https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,"Res BCB 520/2025 (patrimonial segregation: client funds in individualised payment/deposit accounts; client virtual assets in segregated wallets; foreign-custodian conditions — home-country authorisation/supervision, Brazil representative, enforceable guarantees, formal segregation of Brazilian clients' assets)",official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
br-vasp-disclosure_reporting-001,BR,disclosure_reporting,tier1_legal,"Res BCB 520 requires SPSAVs to document proof-of-reserves methods and to publish reports and reserve attestations, with an independent audit on a biennial basis (sources: 'biennial / biannual independent audit cycle'). Res BCB 521 Art. 82-A adds mandatory monthly reporting to the BCB of all FX transactions and international transfers involving virtual assets (including self-hosted-wallet data and counterparty identification), following the model used for traditional international transactions; the information is reported per 'Anexo II-A' and the obligation commences 4 May 2026. Instrução Normativa BCB 701 (22 Jan 2026) sets the form of the independent technical certification for intermediation/custody.",Res BCB 520/2025 (proof-of-reserves + biennial independent audit + published reports); Res BCB 521/2025 Art. 82-A (monthly BCB reporting); IN BCB 701 (22 Jan 2026),https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,Res BCB 520/2025 (proof of reserves; periodic audits; transparent information flows); Res BCB 521/2025 (monthly FX-operations reporting from 4 May 2026),official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-05-04,,,low,False
br-vasp-issuer_pathway-001,BR,issuer_pathway,tier1_legal,"Providing virtual-asset services in Brazil requires prior BCB authorisation as an SPSAV. Under Res BCB 520 Art. 4 there are three modalities — Intermediário, Custodiante and Corretor (intermediary / custodian / broker, the broker combining both functions); a provider may not accumulate incompatible functions. Already-regulated institutions may also offer virtual-asset services on notification to the BCB: commercial / investment / multiple banks, Caixa Econômica Federal, and securities brokers (CTVM), distributors (DTVM) and FX dealers (corretoras de câmbio). Overseas providers must be authorised before operating, requiring a local subsidiary or partnership with a licensed local entity. Grandfathering: providers operating before 2 Feb 2026 may continue while authorisation is processed (apply within ~260–270 days), but transactions with non-authorised providers are prohibited from 30 Oct 2026, after which a non-compliant provider must cease within 30 days.",Res BCB 519/2025 (authorisation regime); Res BCB 520/2025 Art. 4 (provider modalities),https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=519,"Lei 14.478/2022 (BCB authorisation required to provide virtual-asset services); Res BCB 519/2025 (authorisation process); Res BCB 520/2025 Art. 4 (three SPSAV modalities: intermediária, custodiante, corretora), Art. 14 (sociedade limitada/anônima; ≥3 administrators; head office in Brazil); authorisation deadline 30 Oct 2026 (270 days)",official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
