claim_id,claim_type,claim_text,record_ids,source_urls,pinpoint,evidence_tier,binding_status,freshness,review_stage,allowed_use,uncertainty,reviewer,second_reviewer,review_date,status,strength,limitation
claim-ae-pt-aml_kyc-001,record_level_legal_proposition,"Federal AML/CFT law applies across onshore and free zones, the FATF travel rule applies, and each regulator (CBUAE, VARA, FSRA, DFSA) imposes AML/CFT obligations within its perimeter.",ae-pt-aml_kyc-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,AML — federal AML/CFT + FATF travel rule; per-regulator obligations,mixed,in_force_enacted,unknown,unreviewed,research_inventory_only,medium,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-bank_nonbank_routing-001,record_level_legal_proposition,The CBUAE licenses payment-token issuers; the regime admits bank and non-bank issuers under the payment-token charter rather than a bank-only model.,ae-pt-bank_nonbank_routing-001,,Licensing of bank and non-bank payment-token issuers,firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-capital_requirements-001,record_level_legal_proposition,"Onshore, capital requirements are as specified by the CBUAE PTSR. Free-zone issuers face capital requirements per the relevant VARA/FSRA/DFSA framework. The specific figures differ by perimeter.",ae-pt-capital_requirements-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Capital — per CBUAE PTSR onshore; per free-zone framework,mixed,in_force_enacted,unknown,unreviewed,research_inventory_only,medium,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-cross_border_data-001,record_level_legal_proposition,The Federal Personal Data Protection Law (PDPL) applies onshore. The DIFC and ADGM have their own data-protection regimes (DIFC Data Protection Law; ADGM Data Protection Regulations). Cross-border data-transfer rules vary by zone.,ae-pt-cross_border_data-001,,Cross-border data — PDPL onshore; DIFC/ADGM own regimes; transfer rules vary by zone,firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-distribution-001,record_level_legal_proposition,The CBUAE channel restriction is the distribution-side constraint: foreign payment tokens are excluded from the general-payments channel and may be accepted only to buy virtual assets or derivatives. Free-zone issuers cannot issue AED tokens and are carved out of the onshore payment perimeter. There is no aggregate volume cap.,ae-pt-distribution-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Distribution — channel restriction; free-zone issuers carved out of onshore perimeter,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-implementation_status-001,record_level_legal_proposition,"In-force regime. Milestones: CBUAE Payment Token Services Regulation (Circular 2/2024) issued (2024); one-year transition period for existing arrangements (2024-2025); transition period closes and AED tokens (AE Coin, Zand AED) go live, with the DFSA recognising USD tokens (USDC, RLUSD) (2025-2026). Multiple AED tokens and DFSA-recognised USD tokens are now live.",ae-pt-implementation_status-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Timeline — PTSR 2024; one-year transition closed; AED + DFSA-recognised USD tokens live,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-issuer_pathway-001,record_level_legal_proposition,"Onshore, a Dirham Payment Token (DPT) may be issued only by a CBUAE-licensed, UAE-incorporated entity; a Foreign Payment Token (FPT) is a registered foreign issuer's token that may be used only to purchase virtual assets or derivatives, not for general payments. Banks may issue payment tokens through a subsidiary. Free-zone issuers operate under the VARA/FSRA/DFSA frameworks but cannot issue AED tokens — AED issuance is reserved to the CBUAE regime.",ae-pt-issuer_pathway-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,"Issuer pathways — DPT (CBUAE-licensed); FPT (foreign, VA/derivative-only); bank subsidiary; free-zone cannot issue AED",resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-monetary_sovereignty-001,record_level_legal_proposition,"The CBUAE PTSR imposes a channel restriction grounded in monetary sovereignty: no merchant may accept a virtual asset as payment for goods or services unless it is a Dirham Payment Token from a CBUAE-licensed issuer. Foreign payment tokens may be accepted only to buy virtual assets or derivatives, not for general onshore payments. This is a usage-channel restriction, not an aggregate cap — there is no volume ceiling, but foreign tokens are excluded from the general-payments channel, which is reserved for CBUAE-licensed Dirham Payment Tokens.",ae-pt-monetary_sovereignty-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Channel restriction — merchants may accept only CBUAE-licensed Dirham Payment Tokens for goods/services; foreign tokens VA/derivative-only,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-permitted_activity_yield-001,record_level_legal_proposition,"Issuer-paid yield is prohibited onshore (CBUAE). ADGM permits the issuer to earn reserve income but bans the promotion of the token as an investment or savings product. The operative line in ADGM is promotion, not the earning of reserve income — an approach that resembles the US 'solely in connection with holding' analysis more than a flat prohibition.",ae-pt-permitted_activity_yield-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Yield — prohibited onshore; ADGM permits reserve income but bans investment/savings promotion,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-redemption-001,record_level_legal_proposition,"Onshore (CBUAE): redemption at par, no later than the next business day. ADGM: redemption at par within T+2. Free-zone frameworks specify their own redemption timelines.",ae-pt-redemption-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Redemption — CBUAE par <= next business day; ADGM par within T+2,mixed,in_force_enacted,unknown,unreviewed,research_inventory_only,medium,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-regulatory_authority-001,record_level_legal_proposition,"The UAE operates a federal-versus-free-zone split. Onshore, the Central Bank of the UAE (CBUAE) Payment Token Services Regulation (PTSR, Circular 2/2024) governs payment-token issuance and use. The financial free zones run their own fiat-referenced-token regimes: VARA (Dubai, outside the DIFC); the ADGM Financial Services Regulatory Authority (FSRA) under its Fiat-Referenced Token (FRT) framework; and the DIFC's Dubai Financial Services Authority (DFSA) under its Crypto Token rules.",ae-pt-regulatory_authority-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Regulators — CBUAE onshore; VARA / ADGM-FSRA / DIFC-DFSA free zones,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ae-pt-reserve_backing-001,record_level_legal_proposition,"Onshore: 100% backing, segregated in UAE banks. The bank-subsidiary option requires at least 50% cash plus UAE government bonds / CBUAE monetary bills. Free-zone frameworks impose their own reserve requirements (e.g., the ADGM FRT framework requires high-quality liquid reserves).",ae-pt-reserve_backing-001,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,Reserve/backing — 100% segregated in UAE banks; bank-subsidiary >=50% cash + UAE govt bonds/CBUAE bills,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
